Year,Month,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,Max24hrPrecip
1968,Apr,49,90,59,62,53.9,69.3,61.6,0.49,0.46
1969,Oct,52,88,64,65,58.3,73.9,66.1,0,0
1969,Nov,44,84,64,61,54.4,74.1,64.2,1.37,1.26
1969,Dec,39,82,61,60,51.1,66.4,58.7,0.01,0.01
1969,Jan,39,82,59,53,51.2,62.6,56.9,9.6,2.63
1969,Feb,42,73,54,54,48.2,59.6,53.9,3.76,0.89
1969,Mar,40,80,58,55,49.4,63.4,56.4,0.42,0.23
1969,Apr,47,81,59,60,54.6,66,60.3,0.38,0.24
1970,Oct,49,87,66,67,59.2,72.9,66,0.02,0.01
1970,Nov,47,83,59,59,54.2,68.2,61.2,3.68,1.79
1970,Dec,43,77,56,56,48.9,63.2,56,4.12,2.23
1970,Jan,37,73,57,57,50.2,63.6,56.9,1.44,0.67
1970,Feb,46,83,59,62,51.8,69.5,60.7,1.39,0.66
1970,Mar,47,74,57,59,52.4,66.3,59.3,1.29,0.89
1970,Apr,45,82,58,60,51.2,67.4,59.3,0,0
1971,Oct,43,101,71,60,55.4,74.6,65,0.28,0.21
1971,Nov,44,86,58,59,51,67.4,59.2,0.22,0.14
1971,Dec,39,70,57,50,44.8,60.6,52.7,5.7,2.25
1971,Jan,35,86,58,52,47.4,63.6,55.5,0.66,0.39
1971,Feb,41,86,56,57,48.9,64.5,56.7,0.36,0.22
1971,Mar,39,77,56,58,49.8,63.7,56.8,0.23,0.23
1971,Apr,45,91,56,59,50.9,66.7,58.8,0.68,0.67
1972,Oct,48,95,70,66,59.7,73,66.4,1.79,1.75
1972,Nov,44,79,59,60,51.3,69.1,60.2,3.13,1.27
1972,Dec,37,80,57,49,47.9,65.7,56.8,1.88,0.73
1972,Jan,37,80,50,55,44.8,63,53.9,0,0
1972,Feb,46,75,56,58,49.2,64.5,56.8,0.16,0.16
1972,Mar,46,86,57,56,53.5,66.1,59.8,0,0
1972,Apr,47,80,57,61,53.7,69.2,61.5,0,0
1973,Oct,53,91,60,66,56.7,74.6,65.7,0.08,0.04
1973,Nov,44,77,59,59,51.9,67.1,59.5,1.92,0.98
1973,Dec,42,85,54,56,48.8,67.8,58.3,0.45,0.3
1973,Jan,37,77,56,57,46.5,62.7,54.6,3.16,1.7
1973,Feb,45,78,57,59,51.4,65.6,58.5,4.87,1.76
1973,Mar,43,68,53,56,48.6,62.3,55.5,2.42,0.75
1973,Apr,48,80,56,61,52.3,67.8,60,0,0
1974,Oct,52,100,65,62,59.6,72.2,65.9,0.54,0.45
1974,Nov,44,94,61,63,52.4,72.9,62.7,0,0
1974,Dec,35,78,56,56,45.9,65.7,55.8,3.76,1.72
1974,Jan,39,79,56,52,47.5,61.1,54.3,5.68,1.7
1974,Feb,43,80,54,58,48.1,66.8,57.5,0.13,0.13
1974,Mar,43,68,56,54,51,62.1,56.6,2.49,1
1974,Apr,46,78,56,61,51.8,67.5,59.6,0.14,0.12
1975,Oct,49,86,65,66,57.5,73.4,65.4,0.24,0.15
1975,Nov,41,89,62,58,50.9,70.2,60.6,0,0
1975,Dec,40,85,55,57,47.3,68,57.6,0.1,0.1
1975,Jan,37,87,54,49,46.4,67.3,56.8,0.01,0.01
1975,Feb,40,69,55,57,48.4,62.7,55.6,3.21,1.07
1975,Mar,43,70,56,54,49.8,61.6,55.7,2.98,0.64
1975,Apr,45,69,55,53,50.4,62.9,56.7,0.74,0.28
1976,Oct,53,97,67,70,62.2,76.2,69.2,1.5,1.44
1976,Nov,42,96,63,63,56.2,75.6,65.9,0.87,0.73
1976,Dec,41,85,52,57,48.2,71.9,60,0.95,0.81
1976,Jan,36,88,58,61,47.4,72.6,60,0,0
1976,Feb,44,79,57,55,49.7,66,57.9,2.15,0.75
1976,Mar,41,82,56,54,49.4,67.3,58.3,0.83,0.49
1976,Apr,44,78,56,54,50.4,65.5,58,0.77,0.31
1977,Oct,52,83,65,68,59.5,72.9,66.2,0,0
1977,Nov,48,91,61,62,54.4,75,64.7,0.04,0.04
1977,Dec,45,80,60,60,54.6,67.2,60.9,3.92,1.57
1977,Jan,41,82,57,52,49.4,65.7,57.5,3.21,1.33
1977,Feb,44,88,57,56,50.5,70.7,60.6,0.26,0.18
1977,Mar,40,75,55,53,47,65,56,1.23,0.52
1977,Apr,48,77,59,60,53.8,68.3,61.1,0,0
1978,Oct,55,89,68,67,62.4,74.2,68.3,0.04,0.04
1978,Nov,43,81,60,54,50.8,67.1,59,1.2,0.4
1978,Dec,33,80,54,53,45.1,63.5,54.3,0.83,0.61
1978,Jan,39,76,57,56,51.8,65.3,58.5,7.48,1.51
1978,Feb,44,78,58,56,51.2,65.3,58.3,7.66,1.61
1978,Mar,48,93,63,61,55.8,68.4,62.1,5.75,2.27
1978,Apr,46,70,58,60,53,65.3,59.1,1.23,0.69
1979,Oct,49,79,65,66,59.2,72.9,66,0.31,0.22
1979,Nov,44,81,56,63,51.5,70.6,61,0.22,0.13
1979,Dec,41,86,56,61,50,71.2,60.6,0.42,0.31
1979,Jan,34,70,56,50,47.4,61.7,54.5,5.26,1.32
1979,Feb,38,69,53,49,46.8,61.6,54.2,2.53,0.59
1979,Mar,41,84,57,58,50.5,64.4,57.5,4.74,1.61
1979,Apr,49,74,57,62,53.1,67.3,60.2,0,0
1980,Oct,52,88,64,67,58.5,73.9,66.2,0,0
1980,Nov,45,82,61,64,52.8,72,62.4,0,0
1980,Dec,43,90,58,60,49.9,70.4,60.2,1.57,1.27
1980,Jan,43,79,63,60,52.9,66.4,59.6,6.97,1.82
1980,Feb,46,83,60,61,53.5,69,61.2,9.13,2.63
1980,Mar,46,74,56,60,51.3,65.2,58.3,3.69,1.46
1980,Apr,49,85,57,58,53.4,67.8,60.6,0.17,0.13
1981,Oct,51,93,64,66,57.8,72.7,65.2,0.4,0.36
1981,Nov,46,89,59,57,54.1,70,62.1,2.63,1.56
1981,Dec,46,83,56,60,51,67.7,59.4,1.52,1.5
1981,Jan,44,81,60,60,51.5,67.5,59.5,1.51,0.77
1981,Feb,43,85,63,59,51.6,69.5,60.6,1.58,0.53
1981,Mar,46,74,56,56,51.8,64.3,58.1,3.24,0.93
1981,Apr,49,92,61,58,54.5,67.8,61.2,0.46,0.24
1982,Oct,53,91,67,68,59.5,78.9,69.2,0.18,0.13
1982,Nov,44,85,59,59,52.6,69.8,61.2,3.48,1.31
1982,Dec,37,72,55,60,47.7,64.9,56.3,0.66,0.64
1982,Jan,35,78,55,55,46.6,62.5,54.6,2.78,1.18
1982,Feb,44,80,58,58,51.3,66.8,59.1,0.66,0.5
1982,Mar,43,74,58,57,50.6,64.5,57.5,3.41,0.89
1982,Apr,43,83,61,58,53,67.3,60.1,1.61,0.98
1983,Oct,58,92,67,69,62.5,76.5,69.5,0.94,0.49
1983,Nov,41,82,62,59,53.9,68,61,2.74,0.84
1983,Dec,44,75,57,60,50.1,64.1,57.1,2.11,0.7
1983,Jan,39,87,59,58,49.3,68.4,58.8,5.25,1.94
1983,Feb,45,74,55,56,50.4,64.3,57.4,5.64,2.35
1983,Mar,46,70,58,58,51.7,63.8,57.8,6.37,2.55
1983,Apr,46,77,58,58,52.2,66.2,59.2,3.18,0.7
1984,Oct,53,79,65,66,58.6,72.5,65.5,0.28,0.21
1984,Nov,42,77,59,58,51.5,65.8,58.7,1.24,0.93
1984,Dec,41,75,57,55,48.2,62.2,55.2,4.21,1.62
1984,Jan,41,79,57,55,48.6,67.8,58.2,0.39,0.39
1984,Feb,43,79,53,62,49.3,67.7,58.5,0.01,0.01
1984,Mar,49,78,58,62,53.3,69.3,61.3,0.14,0.14
1984,Apr,46,83,58,62,53.8,69,61.4,1.16,0.87
1985,Oct,55,95,69,65,59.7,74.5,67.1,0.36,0.28
1985,Nov,43,81,59,56,51.4,65.8,58.6,4.75,1.69
1985,Dec,39,83,57,55,49,69.2,59.1,0.44,0.35
1985,Jan,41,80,55,54,47.4,63.5,55.5,0.7,0.5
1985,Feb,39,85,58,54,48.5,64.6,56.6,1.91,0.86
1985,Mar,43,73,54,55,48.7,61.7,55.2,0.72,0.3
1985,Apr,50,90,61,60,53.9,67.5,60.7,0,0
1986,Oct,53,92,64,68,58.2,74.5,66.3,0.1,0.1
1986,Nov,47,86,62,68,54.7,75.2,64.9,1.14,1.12
1986,Dec,44,79,55,62,48.7,68.1,58.4,0.3,0.29
1986,Jan,48,88,57,62,53.1,71.4,62.2,2.31,0.84
1986,Feb,41,87,57,57,51.5,65.8,58.6,5.36,2.66
1986,Mar,45,83,59,58,52.5,65.9,59.2,4.89,1.89
1986,Apr,50,86,58,61,54.3,69.1,61.7,0.3,0.18
1987,Oct,57,103,71,65,62.3,75.6,69,1.74,1.13
1987,Nov,45,84,62,62,53.3,70.4,61.8,0.6,0.23
1987,Dec,34,75,55,53,46,61.7,53.9,1.79,0.7
1987,Jan,33,80,56,54,45.7,64.2,55,1.27,0.82
1987,Feb,39,84,60,57,49.6,67,58.3,0.64,0.3
1987,Mar,44,86,59,55,50.8,67,58.9,0.92,0.4
1987,Apr,48,90,60,63,55,71.2,63.1,0.02,0.02
1988,Oct,55,96,63,66,60.4,71.7,66,0,0
1988,Nov,45,81,61,56,52.3,67.8,60.1,0.73,0.28
1988,Dec,38,81,61,50,48,65,56.5,2.52,0.76
1988,Jan,40,83,56,58,47.4,66,56.7,1.61,1.4
1988,Feb,42,88,58,60,50.2,71,60.6,1.79,0.82
1988,Mar,45,95,65,60,53.1,71.8,62.5,0.08,0.04
1988,Apr,48,83,59,59,53.8,68.7,61.2,1.14,0.4
1989,Oct,50,89,63,68,58.4,73.3,65.8,0.34,0.3
1989,Nov,46,90,61,66,54.6,75.6,65.1,0.38,0.38
1989,Dec,44,85,57,62,49.5,71.5,60.5,0,0
1989,Jan,36,81,57,55,45,65.8,55.4,0.59,0.52
1989,Feb,35,84,56,52,47.1,62.5,54.8,1.72,0.97
1989,Mar,43,82,58,55,51.7,66.1,58.9,0.86,0.5
1989,Apr,48,102,70,62,57,72.4,64.7,0,0
1990,Oct,55,94,65,71,60.7,78.4,69.5,0,0
1990,Nov,46,93,60,63,53.5,74.8,64.1,0.1,0.06
1990,Dec,35,84,58,51,46.6,66.9,56.8,0.03,0.03
1990,Jan,42,81,57,58,47.3,66.8,57.1,1.18,0.37
1990,Feb,38,79,54,54,46.8,63.1,55,2.6,1.88
1990,Mar,39,78,56,57,50.6,64.4,57.5,0.14,0.08
1990,Apr,51,79,59,60,56.2,68.8,62.5,0.34,0.16
1991,Oct,48,95,66,66,60.1,74.5,67.3,0.06,0.06
1991,Nov,45,86,59,62,53.5,73.2,63.4,0,0
